ID;Term;Begrepsforklaring;Definisjon;Språkversjoner;Beskrivelsestype;Alternative termer;Kilde;Frarådde termer;Eksempler
BEGREP-1634;PIN;"I EESSI-sammenheng blir PIN utstedt av en kompetent institusjon eller et medlemsland og som i kombinasjon med informasjon om utsteder gir en unik identifikator også på tvers av medlemsland. 

PIN er forkortelse for ""personal identity number"" (personlig identitetsnummer).";"""[e]t passord på fire eller seks sifre som skal identifisere brukeren av for eksempel et betalingskort, et smartkort eller en mobiltelefon.""";Bokmål;Faglig definisjon;PIN-nummer, PIN-kode;"""PIN-kode"". Hentet 10. september 2018 fra https://snl.no/PIN-kode.";;
BEGREP-1624;Gjennomføringsforordning;;en [forordning|BEGREP-1623] som inneholder regler om hvordan [medlemslandene|BEGREP-1630] skal gjennomføre forordningen i praksis.;Bokmål;Folkelig forklaring;;;;- Til forordning 883/2004 gjelder gjennomføringsforordning 987/2009.
BEGREP-1623;Forordning;"""Forordninger kan vedtas av Unionsrådet eller Europakommisjonen og skal godkjennes av Europaparlamentet. Innholdet i flere forordninger er blitt norsk rett på grunn av EØS-avtalen.""";"en lovbestemmelse gitt av EU som ""i sin helhet [får] lovs kraft i medlemslandene uten å måtte vedtas av det enkelte land.""";Bokmål;Faglig definisjon;;"""Forordning"". Hentet 23. mars 2017 fra snl.no/forordning.";;
BEGREP-1621;Fellesfunksjon;;en fellesbetegnelse for alle [funksjoner|BEGREP-968] og [prosesser|BEGREP-415] som er felles i en [virksomhet|BEGREP-835].;Bokmål;Faglig definisjon;;;;"- Arkivtjeneste 
- HR 
- Økonomitjenester 
- Rekvirering av D-nummer 
- Identifisering av person"
BEGREP-1618;EESSI;;en løsning for elektronisk utveksling av trygdeinformasjon internt mellom EU- og EØS-land.;Bokmål;Faglig definisjon;Electronic Exchange of Social Security Information;;;
BEGREP-1617;E-blankett;;en blankett med forhåndsdefinerte datafelt for utveksling av trygde-, arbeids- og personinformasjon mellom institusjoner i EU- og EØS-landene.;Bokmål;Faglig definisjon;;;[Portabelt dokument|BEGREP-1635];
BEGREP-1616;Tilknytningspunkt;"""Leveres fra EU."" 

""2. I tillegg til de definisjoner som er nevnt i nr. 1, 

a) menes med «tilknytningspunkt» en enhet som tilbyr: 

i) et elektronisk kontaktpunkt, 

ii) automatisk ruting basert på adressen, og 

iii) intelligent ruting basert på programvare som muliggjør automatisk kontroll og ruting (for eksempel et program for kunstig intelligens) og/eller menneskelig inngripen""";"""en løsningskomponent for meldingsutveksling mellom den sentrale noden i EU og nasjonale kompetente institusjoner.""";Bokmål;Faglig definisjon;Aksesspunkt;EESSI-terminologiliste for Europaparlaments- og rådsforordning (EF) nr. 987/2009 om fastsettelse av nærmere regler for gjennomføring av forordning (EF) nr. 883/2004 om koordinering av trygdeordninger kapittel 1, artikkel 1 punkt 2;;
BEGREP-1605;Sanksjon;;en reaksjon på lovovertredelse eller på annen uønsket atferd.;Bokmål;Faglig fortolkning;;Jusleksikon;;"- Utestengning fra NAV-kontor 
- Rentetillegg etter folketrygdloven § 22-17 a"
BEGREP-1604;NAV Fagpost;"Rollen utfører operative oppgaver for [dokumenthåndtering|BEGREP-303]: 
- kontrolloppgaver 
- enkel overvåking 
";en [rolle|BEGREP-800] i [NAV|BEGREP-121] som håndterer avvik i dokumenthåndteringsprosessen i henhold til gjeldende rutiner.;Bokmål;Faglig fortolkning;;;;- En som håndterer avvik i skanningprosesser
BEGREP-1603;Fagarkiv;NAVs Fagarkiv er hovedsakelig [Joark|BEGREP-636].;et [arkiv|BEGREP-1886] for [fagsaker |BEGREP-380]som har [fysiske|BEGREP-165] eller [juridiske personer |BEGREP-283] som [part|BEGREP-150].;Bokmål;Faglig fortolkning;;Overordnet arkivplan for NAV - arbeids- og velferdsetaten, versjon 2.0. Hentet 18. juli 2017 fra https://navet.adeo.no/Etatstjenester/Stottefunksjoner/Arkiv+og+dokumenthandtering.;;
BEGREP-1602;Basisregistrering;"Brukes for å arkivere dokumenter uten å journalføre dem. 
  
  ";en spesialisering av [registrering|BEGREP-1887], og inneholder i tillegg alle de [metadataene|BEGREP-61] som skal være obligatoriske i alle typer [fagsystemer|BEGREP-876].;Bokmål;Faglig definisjon;;Noark 5, v. 4.0 (pdf). Side 63.;;NAV har tilsvarende registrering med minimums metadata i Henvendelsesarkivet.
BEGREP-1589;Nøytralt uttak;"Forventet nåverdi av den enkeltes samlede alderspensjon som pensjonist er uavhengig av uttaksalder. Den årlige pensjonen blir høyere jo senere den tas ut fordi den skal utbetales over færre år. 

  

 ";samlet [alderspensjon|BEGREP-674] i perioden som pensjonist er nøytral i forhold til når pensjonen tas ut.;;Faglig definisjon;;"LOV-1997-02-28-19 Lov om folketrygd (folketrygdloven) §§ 19-6 og 20-12 
";;Totalsummen av utbetalt alderspensjon blir den samme om man tar ut pensjonen ved 70 år eller 62 år. Den årlige alderspensjonen blir imidlertid høyere om pensjonen tas ut ved 70 år enn om den tas ut ved 62 år, fordi den totale pensjonen skal utbetales over færre år som pensjonist.
BEGREP-1586;Identitet;"""Identitet kan utdypes og forklares nærmere ut fra tre grupper med identitetselementer: 

- Formell identitet blir etablert med tildeling av navn, fødselsdato og nasjonalitet. 
- Biologisk identitet viser til vårt genetiske opphav og som blant annet tilkjennegis i utseendet vårt. Formell og biologisk identitet endrer seg ikke med tiden. 
- Sosiokulturell identitet gjengir elementer som kan endre seg gjennom livet, som utdannelse, klasse- eller gruppetilhørighet, politisk tilknytning, språk, livsstil etc. 

I Norge har vi fødselsnummer, som er unikt for den enkelte person. Andre land kan ha tilsvarende identifikasjonsnummer: Sverige har personnummer, Danmark har CPR-nummer, Storbritannia har National Insurance Number og USA har Social Security Number etc. Noen land forbyr tildeling av nummer for unik personidentifisering, dette gjelder blant annet Tyskland, Australia og Canada. Disse landene benytter ulike nummer til ulike formål, eksempelvis skatt og helsetjenester.""";"""identitet kan sies å utgjøre summen av forskjellige opplysninger og særegenheter som tilsammen beskriver personen og skiller han fra andre.""";Bokmål;Faglig definisjon;;"""Hva er identitet?"". Hentet 28. september 2018 fra https://www.nidsenter.no/fag/hva-er-identitet/";;
BEGREP-1562;Endringsvedtak;;et [vedtak|BEGREP-192] som endrer resultatet av et tidligere vedtak, til gunst eller ugunst for [brukeren|BEGREP-20].;Bokmål;Folkelig forklaring;;;;
BEGREP-1561;Vergemål;"""Med personer under vergemål menes 

a) personer under 18 år, 

b) personer som har fylt 18 år, og som det er vedtatt vergemål for etter [vergemålsloven] kapittel 4. 

Med personer som er satt under vergemål, menes personer som det er vedtatt vergemål for etter [vergemålsloven] kapittel 4."" 
";"""[...] når en mindreårig eller voksen har en [verge|BEGREP-280] som er bemyndiget til å handle på vegne av vedkommende.""";Bokmål;Rettslig definisjon;;"NOU 2004:16. (Kapittel 5). Vergemål. Utredning fra et utvalg oppnevnt av Justis- og politidepartementet 6. april 2001. Avgitt 17. september 2004. Justis- og politidepartementet; 
LOV-2010-03-26-9 Lov om vergemål (vergemålsloven) § 2;";;
BEGREP-1552;Introduksjonsprogram;"Ordningen har som formål å styrke nyankomne innvandreres mulighet for deltakelse i yrkes- og samfunnslivet og deres økonomiske selvstendighet. 

Introduksjonsprogrammet skal som et minimum inneholde norskopplæring, samfunnskunnskap, samt tiltak som forbereder til videre opplæring eller tilknytning til yrkeslivet. 

Programmet skal være helårlig og på full tid. Deltakerne mottar introduksjonsstønad. Programmet kan vare inntil to år, med tillegg av godkjent permisjon. Når særlige grunner taler for det, kan programmet vare inntil tre år. 

Kommunen har ansvaret for å tilby introduksjonsprogrammet. Rett og plikt til deltakelse er hjemlet i introduksjonsloven. Noen kommuner har valgt å legge programmet til NAV-kontoret i kommunen. Integrerings- og mangfoldsdirektoratet (IMDi) har det overordnete ansvaret for programmet.";"ordning som tilrettelegges for nyankomne [flyktninger|BEGREP-178] og [innvandrere|BEGREP-1132] som har behov for grunnleggende kvalifisering og som tar sikte på å gi grunnleggende ferdigheter i norsk, gi grunnleggende innsikt i norsk samfunnsliv og å forberede for deltakelse i yrkeslivet. 


";Bokmål;Faglig definisjon;;LOV-2003-07-04-80 Lov om introduksjonsordning og norskopplæring for nyankomne innvandrere (introduksjonsloven) §§ 1, 4 og 5;;
BEGREP-1546;Legeerklæring;I NAV-sammenheng brukes termen om en rekke attester når bruker søker om folketrygdens helserelaterte stønader og ytelser. Legeerklæringer benyttes som grunnlag for NAVs vurdering av brukerens rett til de aktuelle stønadene/ytelsene.;en [skriftlig|BEGREP-198] bevitnelse, bekreftelse, vurdering e.l. avgitt av lege som ledd i yrkesutøvelsen for å dokumentere helseopplysninger, helsetilstand eller behandlingsforhold knyttet til enkeltpasienter med formål å skulle benyttes overfor andre enn pasienten selv.;;Folkelig forklaring;;"[FOR-2008-12-18-1486 Forskrift om krav til helsepersonells attester, erklæringer o.l. (Forskrift om krav til helsepersonells attester);|https://lovdata.no/dokument/SF/forskrift/2008-12-18-1486] 
[LOV-1997-28-02-19 Lov om folketrygd (folketrygdloven) § 21-4|https://www.nav.no/rettskildene-intern/lov/L19970228-19_P21-4#L19970228-19_P21-4]";;"- [Sykmelding|BEGREP-1144] 
- ""Legeerklæring ved krav om pleiepenger"" 

- ""Legeerklæring ved arbeidsuførhet"""
BEGREP-1542;Arbeidsinntekt;"Inntekten skal være knyttet til  arbeidsinnsats. Rene [kapitalinntekter|BEGREP-1979] som f.eks. renter medregnes ikke, og heller ikke pensjonsinntekt, underholdsbidrag, stønad etter lov om sosiale tjenester og [AAP|BEGREP-941]. 

Inntekt som av ligningsmyndighetene anses som pensjonsgivende inntekt vil vanligvis anses som arbeidsinntekt. 

Arbeidsinntekt gjelder fordel vunnet ved arbeid, utgiftsgodtgjørelse og [naturalytelser|BEGREP-1378]. 

Likestilt med arbeidsinntekt er [dagpenger|BEGREP-972], [sykepenger|BEGREP-1020], [pleiepenger|BEGREP-1019], [omsorgspenger|BEGREP-1368], [svangerskapspenger|BEGREP-1020], [foreldrepenger|BEGREP-973] og [avtalefestet pensjon|BEGREP-671]. 

Denne type inntekter blir rapport om gjennom A-ordningen.";"en [inntekt|BEGREP-1672] vunnet ved arbeid og som etter skatteloven skal regnes som [skattepliktig|BEGREP-1825] inntekt. 

 ";Bokmål;Faglig fortolkning;;" LOV-1999-03-26-14 Lov om skatt av formue og inntekt (skatteloven) § 5-10 til 5-13 [https://www.nav.no/rettskildene-intern/lov/L19990326-14_P5-10#L19990326-14_P5-10], 
jf. § 5-1 [https://www.nav.no/rettskildene-intern/lov/L19990326-14_P5-1#L19990326-14_P5-1]";;
BEGREP-1517;Fødselsattest;;"et offentlig [dokument|BEGREP-143] som ""inneholder [opplysninger|BEGREP-48] om en [persons|BEGREP-165] [navn|BEGREP-641], fødselsdato, [personnummer|BEGREP-1885], kjønn, fødested og eventuelt navn på [foreldre|BEGREP-281].";Bokmål;Faglig definisjon;;"""Fødselsattest"". Hentet den 28.09.2016 fra http://www.skatteetaten.no/no/Person/Folkeregister/Utlevering-av-opplysninger/Attester/Fodselsattest/; 
FOR-1968-07-05-3384 Forskrift om utstedelse av fødselsattester i folkeregistrene";;
BEGREP-1506;Heltidsarbeid;Heltidsarbeid er et krav for å for eksempel kunne utsette [foreldrepengeperioden|BEGREP-974] sin. At man gjenopptar sin fulle deltidsstilling er ikke nok til å oppfylle kravet.;inntektsgivende arbeid på heltid.;Bokmål;Folkelig forklaring;;LOV--1997-02-28-19 Lov om folketrygd (folketrygdloven) § 14-11 første ledd bokstav b;;"- At man jobber fulltid, 100 % stilling (man har et arbeidsforhold og mottar lønn) 
- Lønnet etatsutdanning på heltid"
BEGREP-1499;Selvbetjeningsløsning;"Selvbetjeningsløsningene gir [brukeren|BEGREP-20] tilpasset veiledning og tilgang til egen informasjon underveis i utfyllingen av en søknad, oppdatering av fakta (telefonnummer og lignende) eller belysning av en sak. 

Formålet med selvbetjeningsløsninger er å 
- legge til rette for at [søknader|BEGREP-257] er tilstrekkelig opplyst til å kunne behandles i NAVs systemer og [prosesser|BEGREP-415] 
- redusere brukernes behov for personlig bistand fra NAV fordi nødvendig og tilstrekkelig informasjon gis i løsningen 
- bidra til å realisere NAVs kanalstrategi ved at brukerne henvises til den mest ressurseffektive [kommunikasjonskanalen|BEGREP-67] 
- gi bedre service til de brukerne/aktørene som NAV samhandler med 

Andre [aktørers|BEGREP-297] (bedrifter, samhandlingspartnere med videre) saksbehandlingssystemer som sender elektroniske meldinger til NAV er ikke omfattet av denne definisjonen. 

Automatiserte tjenester omfattes ikke av dette begrepet, ei heller av selvbetjening, for eksempel vil opplysninger vi tidligere ba brukerne/arbeidsgiverne om nå kunne hentes via [a-ordningen|BEGREP-862]. 

Videre vil en løsning for system til system-kommunikasjon, for eksempel en sykmelding generert i en leges EPJ sendt direkte til NAV, falle utenfor definisjonen. Det samme vil arbeidsgivers elektroniske krav om sykepengerefusjon, mens DIGISYFO er en selvbetjeningsløsning.";"en digital løsning som setter en [aktør|BEGREP-297] i stand til selv å utføre [oppgaver|BEGREP-82] som ikke må utføres av en NAV-ansatt, eller som ikke kan eller bør automatiseres. 
";Bokmål;Faglig definisjon;;;;
BEGREP-1496;Dokumentproduksjon- og distribusjonssystemet;Dokumentproduksjon- og distribusjonssystemet (Doksys) koordinerer og utfører operasjoner for [forretningsfunksjonen|BEGREP-982] Dokumentproduksjon og -distribusjon. ;en felles løsning for dokumentproduksjon og -distribusjon i [NAV|BEGREP-121].;Bokmål;Faglig fortolkning;Doksys;"""Systemdokumentasjon for Doksys."" Hentet 7. september 2016 fra [http://confluence.adeo.no/x/34fiC]";;"Eksempler på operasjoner: 
- Produksjon av redigerbare [dokumenter|BEGREP-143] 
- Produksjon av ikke-redigerbare dokumenter 
- Produksjon og distribusjon av afp-filer for utskrift 
- Distribusjon av dokumenter til [digital postkasse|BEGREP-1497] 
- Distribusjon av ehf-dokumenter til Nets 
- Produksjon av [vedlegg|BEGREP-1693] 
- Produksjon av dokumentutkast 
- Ferdigstill [forsendelse|BEGREP-156] 
- Støtte for [to-trinns saksbehandling|BEGREP-1000] 
- Avbryt forsendelse 
- Avbryt vedlegg 
- Lokal utskrift (skal bare benyttes for absolutt behov for lokal utskrift) 
- Utskrift av dokument med vedlegg 
- Knytte eksisterende dokumenter i [Joark|BEGREP-636] til en forsendelse 
- Produksjon av batchbrev/høyvolumforsendelser 
- [Varsel|BEGREP-1420] til [bruker|BEGREP-20]"
BEGREP-1491;Tekstelement;Et tekstelement kan inneholde variabler og styres av en visningsregel. Hvert tekstelement har unik [identifikator|BEGREP-619]. Hensikten med tekstelementene er å samle tekster som potensielt kan gjenbrukes, gjerne på tvers av fagområder i [NAV|BEGREP-121], og for å gi innholdseiere og andre interessenter oversikt over hvilke tekstelementer som blir brukt hvor, og bidra til å standardisere kommunikasjon til [bruker|BEGREP-20].;en blokk eller mengde med tekstlig innhold i en [dokumentmal|BEGREP-1127].;Bokmål;Faglig fortolkning;;"""Systemdokumentasjon for ""Metaforce-dokumenter"". Hentet 11. august 2017 fra https://confluence.adeo.no/x/KWlsDQ.";;"Tekstelementer kan ha ulik kategori: 

1. [Fellesfaglige tekster|BEGREP-533] på tvers i NAV: 
""Med vennlig hilsen"" og ""Har du spørsmål"", som avslutter brev fra NAV. 

2. Fellesfaglige tekster innenfor en [temagruppe|BEGREP-650], som Arbeid. 
Eksempel er felles innledning for [søknad|BEGREP-257]. 

3. Fellesfaglige tekster innenfor et ytelsesområde, som [AAP|BEGREP-941], eller [Oppfølging|BEGREP-804]. 

4. Grupperte tekstelementer 

5. Unike tekstelementer"
BEGREP-1475;Dokumentasjon;;«informasjon som en organisasjon eller person produserer, mottar og vedlikeholder som bevis og som et aktivum, som ledd i å oppfylle rettslige forpliktelser eller i en forretningstransaksjon»;Bokmål;Faglig definisjon;;"""Dokumentasjon"". I: NS-ISO 30300:2011. Utgave 1 (2015-05-01), kapittel 3.1.7, side 13. _Informasjon og dokumentasjon - Ledelsessyetemer for dokumentasjon - Grunntrekk og terminologi._";;
BEGREP-1458;Kodespeil;;et [sammensatt kodeverk|BEGREP-675] som oversetter koder mellom to forskjellige kodesett som typisk kommer fra hvert sitt IT-system.;Bokmål;Faglig definisjon;;;;
BEGREP-1457;Hierarkisk kodeverk;Hierarkiske kodeverk er begrenset av at kodene fra de enkelte [kodeverk|BEGREP-465] hører hjemme på et gitt nivå i hierarkiet. Alle kodene har overkoder og underkoder med unntak av øverste og nederste nivå.;et [sammensatt kodeverk|BEGREP-675] der [kodene|BEGREP-631] har overkoder eller underkoder fra andre kodeverk.;Bokmål;Faglig definisjon;;;;Geografisk kodeverk som uttrykker Land - fylke - kommune - bydel
BEGREP-1456;Kodesti;"Kodestier er den mest avanserte formen for sammensatte kodeverk i [Felles kodeverksløsning|BEGREP-959]. 
Kodestiene gir mulighet til å uttrykke sammenheng mellom koder uten at det ligger begrensninger i hva som skal tolkes som overordnet og underordnet kode eller hvor mange koder som kan peke til en enkelt kode i et annet kodeverk. 

Kodestiene skiller seg fra hierarkiske kodeverk ved at de ikke er bundet av at koder på ett nivå i hierarkiet alltid skal følges av koder på et annet gitt nivå.";ett sammensatt [kodeverk|BEGREP-675] der [kodene|BEGREP-631] er bundet sammen med ett sett av noder.;Bokmål;Faglig definisjon;;;;
BEGREP-1453;Transaksjon;"""Transaksjoner resulterer i arkivdokumenter, men alle transaksjoner behøver ikke nødvendigvis skape et eget arkivdokument.""";"""de enkelte trinnene i en aktivitet.""";Bokmål;Faglig definisjon;;"""Transaksjon"". I: NOARK 5 v 4.0 (pdf). Side 277; 
""DET DIGITALE UNIVERSET - Tanker om funksjonsbasert klassifikasjon"". Av: Marcus Liebold, Riksarkivet. Hentet 18. juli 2017 fra http://www.arkivrad.no/sites/arkivrad/files/arkivrad_nr.1_2014_0.pdf. 
";;"- Mottak av en søknad i form av et inngående dokument 
- Vedtaket i form av et utgående dokument"
BEGREP-1445;Arbeidsgiveravgift;Arbeidsgiveravgiften fastsettes i prosent av det beløp som skal innrapporteres for vedkommende år. Plikten til å betale arbeidsgiveravgift gjelder selv om beløpet fritas for innrapporteringsplikt på grunn av beløpets størrelse.;"avgift som betales ""av lønn og annen avgiftspliktig godtgjørelse for arbeid og oppdrag i og utenfor tjenesteforhold [...] [som arbeidsgiver] plikter å innrapportere."" 

";Bokmål;Faglig definisjon;;LOV-1997-02-28-19 Lov om folketrygd (folketrygdloven) § 23-2;;
BEGREP-1442;Selvstendig næringsdrivende;"""Ved avgjørelsen av om en person skal regnes som selvstendig næringsdrivende, legges det blant annet vekt på 

- om virksomheten har et visst omfang, 
- om vedkommende har ansvaret for resultatet av virksomheten, 
- om vedkommende har arbeidstakere i sin tjeneste eller nytter frilansere, 
- om vedkommende driver virksomheten fra et fast forretningssted (kontor, verksted e.l.), 
- om vedkommende har den økonomiske risikoen for virksomheten, 
- om vedkommende bruker egne driftsmidler. """;"""med selvstendig næringsdrivende menes i denne loven enhver som for egen regning og risiko driver en vedvarende virksomhet som er egnet til å gi nettoinntekt.""";Bokmål;Legaldefinisjon;;LOV-1997-02-28-19 Lov om folketrygd (folketrygdloven) § 1-10.;;
BEGREP-1438;Frilanser;"""Gruppen omfatter mange utøvende kunstnere, journalister og andre som ikke kan anses som ansatt. Videre omfatter gruppen personer som mottar ulike former for lønn, provisjon, honorar, godtgjørelse som medlem i styrer og råd m.m.""";"""med frilanser menes i denne loven enhver som utfører arbeid eller oppdrag utenfor tjeneste for lønn eller annen godtgjørelse, men uten å være [selvstendig næringsdrivende|BEGREP-1442], se § 1-10.""";Bokmål;Legaldefinisjon;Ikke-ansatt [arbeidstaker|BEGREP-179], selvstendig oppdragstaker;"LOV-1997-02-28-19 Lov om folketrygd (folketrygdloven) § 1-9; 
I Ot prp nr 29 (1995-96), side 29.";;"- Journalist 
- Skuespiller 
- Fotograf 
- Musiker"
BEGREP-1432;Innsyn;;å gjøre seg kjent med opplysninger og dokumenter i en sak.;Bokmål;Faglig fortolkning;;;;
BEGREP-1430;Fullversjon;"Fullversjonen er ment å være et tilleggsdokument som benyttes i blant annet klage- og feilutbetalingssaker. 

Fullversjonen i dagens løsning for dagpenger og AAP inneholder: 

- Brukerens personalia 

- Informasjon og veiledning ut fra brukerens status ved pålogging, eksempel veiledningstekster brukeren fikk ved oppstarten av søknaden, som informasjon om registrering som arbeidssøker. Tekstene som lagres fra informasjon og veiledning vil være tekstene som brukeren fikk ved førstegangspålogging. 

- Brukerens spørsmål og svar som er avgitt underveis i dialogen 

- Hjelpetekster i forbindelse med brukerens besvarelse (tekster i ingress, informasjonsbokser og hjelpetekster bak spørsmålstegn, knyttet til valg brukeren har gjort underveis i søknaden) 

- Hjelpetekster i forbindelse med brukerens vedlegg fra søknaden 

- Brukerens erklæring, konsekvensen av å oppgi uriktige opplysninger.";en versjon av en elektronisk søknad, skjema, krav ol som inneholder omgivelser, informasjonstekster og annen veiledning gitt til bruker underveis i utfyllingen av skjema.;Bokmål;Folkelig forklaring;;"Noark 5 v. 4.0 (pdf). Side 150-151; 
ELMER 2 - Retningslinjer for brukergrensesnitt i offentlige skjemaer på Internett (pdf). Side 12-20. Hentet 18. juli 2017 fra http://www.elmer.no/retningslinjer/2.0/begrepsdefinisjoner.html. 
";;Dynamisk skjermdialog
BEGREP-1424;Kvalifiseringsstønad;"""Kvalifiseringsstønaden skal på årsbasis være lik to ganger folketrygdens [grunnbeløp|BEGREP-759]. Deltaker under 25 år mottar 2/3 stønad. 

Antall stønadsdager hvert år settes til 260 [dager], slik at stønaden per dag utgjør 1/260 av stønaden på årsbasis. 

Til den som forsørger barn, ytes et [barnetillegg|BEGREP-752]."" 

Kvalifiseringsstønaden utbetales hovedsakelig fra det kommunale lønnssystemet.";en skattepliktig og [pensjonsgivende|BEGREP-400] stønad for deltakere i [Kvalifiseringsprogrammet|BEGREP-1414] som utbetales etterskuddsvis på bakgrunn av oppmøte.;Bokmål;Faglig definisjon;;LOV-2009-12-18-131 Lov om sosiale tjenester i arbeids- og velferdsforvaltningen (sosialtjenesteloven) § 35;;
BEGREP-1423;Mottak av dokumentasjon;"Mottak av dokumentasjon er en forretningsfunksjon som inngår i [kjerneprosessen|BEGREP-417] Motta og vurdere [informasjon|BEGREP-48]. Den danner grunnlaget for Behandle [sak|BEGREP-55]. Mottak av dokumentasjon er en generell [evne|BEGREP-963] [NAV|BEGREP-121] har, som kan utnyttes i andre kjerneprosesser. Det skal være et enhetlig løp for mottak av dokumentasjon. 

De viktigste målene for Mottak av dokumentasjon er: 
- ha automatiske [prosesser|BEGREP-415] for å berike med [metadata|BEGREP-61], lagre uendret til riktig [arkiv|BEGREP-633] eller område, og sende videre til [behandling|BEGREP-201] 
- legge til rette for automatisk [journalføring|BEGREP-28] 
- ta i mot dokumentasjon fra alle tillatte [kanaler|BEGREP-67] i (ett) felles mottak med lik behandling uavhengig av kanal 
- sikre tilgjengelighet, garantert levering og rask behandling i mottak 
- ivareta [integritet|BEGREP-50] og [sporbarhet|BEGREP-114] 
- forenkle forvaltningen av skanningsløsningene og redusere skanning 
- ha fleksible, forvaltbare og endringsdyktige løsninger for mottak";[forretningsfunksjon|BEGREP-982] i domenet Dokumenthåndtering.;Bokmål;Faglig fortolkning;;"""Domenekart med forretningsfunksjoner."" Hentet 6. juli 2017 fra Arkitekturportalen: [https://confluence.adeo.no/x/n58fB] 
""Målbilde for Mottak av dokumentasjon."" Hentet 6. juli 2017 fra Arkitekturportalen: [https://confluence.adeo.no/x/IhudCg]";Mottak av dokumenter;
BEGREP-1420;Varsel;Underretning om enkeltvedtak skjer ved at det sendes et varsel om at vedtaket er truffet med en beskrivelse av hvor vedtaket kan hentes, f.eks. lenke til [Ditt NAV|BEGREP-483]. Dette varselet kan sendes som ordinær e-post eller som sms, forutsatt at kravene til egnet informasjonssystem ivaretas. Varsling krever at brukers [digitale kontaktinformasjon|BEGREP-1404 ] er registrert i [Kontakt- og reservasjonsregisteret|BEGREP-1417] og at denne benyttes.;en [henvendelse|BEGREP-11] til [bruker|BEGREP-20] om at [enkeltvedtak|BEGREP-192] og annen viktig informasjon er tilgjengeliggjort i [egnet informasjonssystem|BEGREP-1385].;Bokmål;Faglig fortolkning;;"FOR-2004-06-25-988 Forskrift om elektronisk kommunikasjon med og i forvaltningen (eForvaltningsforskriften) § 8. 
";;
BEGREP-1419;Elektronisk innsyn;"[Bruker|BEGREP-20] kan få elektronisk innsyn dersom [forvaltningsorganet|BEGREP-849] har lagt til rette for det. 

";[innsyn|BEGREP-1432] i [opplysninger|BEGREP-834] og [dokumenter|BEGREP-143] i elektronisk form.;Bokmål;Faglig definisjon;;FOR-2004-06-25-988 Forskrift om elektronisk kommunikasjon med og i forvaltningen (eForvaltningsforskriften) § 12, jf. §§ 3 og 4.;;
BEGREP-1418;Digitaliseringsrundskrivet;"Rundskrivet ""[...] gir et helhetlig bilde av hvilke føringer som gjelder"" og det erstattes årlig i sin helhet. 

""Rundskrivet beskriver [..] prosessen knyttet til Kommunal og moderniseringsdepartementets (KMD) vurdering av IKT-relaterte satsingsforslag [for inneværende år]. Rundskrivet gjelder for departementene, statens ordinære [forvaltningsorganer|BEGREP-849], forvaltningsorganer med særskilte fullmakter og forvaltningsbedrifter.""";""" [...] en sammenstilling av pålegg og anbefalinger vedrørende digitalisering i offentlig sektor [...]"".";Bokmål;Faglig definisjon;;Digitaliseringsrundskrivet. H-7/17: https://www.regjeringen.no/no/dokumenter/digitaliseringsrundskrivet/id2569983/;;
BEGREP-1417;Kontakt- og reservasjonsregisteret;Registeret kan benyttes i forbindelse med [saksbehandling|BEGREP-304] og utføring av forvaltningsoppgaver for øvrig, og skal benyttes til [varsling|BEGREP-1420]. Difi er [behandlingsansvarlig|BEGREP-185] for registeret.;et register som inneholder [innbyggeres|BEGREP-165] [digitale kontaktinformasjon|BEGREP-1404] og opplysninger om hvorvidt innbyggeren har [reservert|BEGREP-1400] seg mot digital kommunikasjon med offentlig sektor.;Bokmål;Faglig fortolkning;KRR;FOR-2004-06-25-988 Forskrift om elektronisk kommunikasjon med og i forvaltningen (eForvaltningsforskriften) § 29;;
BEGREP-1414;Kvalifiseringsprogrammet;"Kvalifiseringsprogrammet retter seg i første rekke mot [brukere|BEGREP-20] som har mottatt [tjenester|BEGREP-970] og ytelser fra [NAV|BEGREP-121] i lang tid og de som står i fare for å bli det. 

For at brukeren skal ha rett til å delta i et kvalifiseringsprogram må det ligge en [arbeidsevnevurdering|BEGREP-871] til grunn. Det er også en forutsetning at ""tett og koordinert bistand gjennom deltagelse i programmet vurderes som hensiktsmessig og nødvendig for å styrke mulighet for deltagelse i arbeidslivet, og at NAV kan tilby et tilpasset program. 

For den tiden en person deltar i et kvalifiseringsprogram, har vedkommende rett til [kvalifiseringsstønad|BEGREP-1424] [...]"". 
";"[program som] ""gjelder for [personer|BEGREP-165] i yrkesaktiv alder med vesentlig nedsatt [arbeidsevne|BEGREP-722] og [inntektsevne|BEGREP-711] og ingen eller svært begrensede [ytelser|BEGREP-133] til livsopphold etter folketrygdloven eller arbeidsmarkedsloven.""";Bokmål;Faglig definisjon;KVP;"LOV-2009-12-18-131 Lov om sosiale tjenester i arbeids- og velferdsforvaltningen (sosialtjenesteloven) § 29 første til tredje ledd 

";;
